Comment,Designator,Footprint,LCSC,Quantity
STM32F303CBTx,U25,LQFP-48_7x7mm_Pitch0.5mm,C108516,1
USBLC6-4SC6,"U1,U20,U21,U22,U23,U29",SOT-23-6,C111212,6
SMAJ24A TVS 24V,D22,SMA_Standard,C113962,1
100n,"C1,C10,C100,C103,C104,C105,C106,C107,C108,C112,C113,C114,C115,C116,C117,C118,C119,C12,C120,C121,C122,C125,C126,C127,C128,C13,C130,C138,C15,C16,C17,C19,C2,C29,C30,C36,C37,C40,C41,C53,C54,C55,C56,C58,C60,C61,C63,C66,C67,C7,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C82,C83,C84,C85,C86,C87,C89,C9,C91,C94,C95,C96,C98,C99",C_0603,C14663,74
1n,"C146,C147,C148,C149,C150,C21,C22,C46,C47,C48,C49,C500,C52,C59,C64,C81",C_0603,C1588,16
yellow,D17,LED-0805-SIDE,C160468,1
green,"D14,D15,D18,D19,D20,D24,D4,D8",LED-0805-SIDE,C160469,8
18p,"C11,C20,C23,C24,C25,C26,C27,C31,C32,C33,C39,C45,C5,C57,C6",C_0603,C1647,15
RT8259,"U13,U24,U28,U4",SOT-23-6,C16819,4
LNK304D,U5,SOIC-7,C185829,1
1m 250mA,L2,NPI31W,C2045430,1
0.002,"R80,R81,R82",R_2512,C2090861,3
1k,"R101,R102,R103,R104,R105,R108,R117,R118,R119,R12,R121,R122,R123,R124,R125,R126,R127,R128,R13,R136,R139,R14,R15,R153,R16,R165,R2,R30,R45,R61,R63,R66,R69,R72,R75,R91,R99",R_0603,C21190,37
100,"R129,R162,R168,R169,R170,R171",R_0603,C22775,6
120,"R1,R109,R110,R111,R112,R113,R114,R130,R131,R23,R24,R25,R26,R31",R_0603,C22787,14
15k,"R107,R19,R47,R48,R49,R50,R54,R55,R56,R57,R58,R90,R92",R_0603,C22809,13
1.5k,"R143,R145,R174",R_0603,C22843,3
3.9k,"R115,R149,R161,R164,R166,R20,R22,R29,R34,R53,R59,R74,R79",R_0603,C23018,13
470,"R100,R120,R134,R17,R18,R3,R4,R46,R5,R6,R76,R8,R83,R84,R85,R93,R94,R95,R96",R_0603,C23179,19
5.1k,"R144,R146,R152,R172,R173,R177",R_0603,C23186,6
51k,"R133,R141,R21,R60,R97",R_0603,C23196,5
22,"R10,R11,R147,R148,R154,R159,R160,R163,R167,R175,R176,R40,R86,R87,R88,R89,R9",R_0603,C23345,17
10k,"R106,R116,R132,R135,R137,R138,R140,R142,R35,R36,R37,R38,R39,R41,R42,R43,R44,R62,R64,R65,R67,R68,R7,R70,R71,R73,R98",R_0603,C25804,27
8M,"Y1,Y2",Crystal_SMD_0503_4Pads,C276420,2
red,"D1,D16",LED-0805-SIDE,C284935,2
USB_C_Receptacle_USB2.0,"P1,P11",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2988369,2
SN65176B,"U10,U11,U14,U15,U16,U17,U18,U19,U8,U9",SOIC-8-N,C31302,10
249k,"R27,R28,R32,R33,R51,R52,R77,R78",R_1206,C322960,8
2.2µ,"C101,C102,C129,C133,C134,C135,C136,C137,C139,C140,C141,C142,C144,C18,C42,C43,C44,C50,C62,C65,C8,C88,C90",C_0603,C377773,23
ES1J R2,"D10,D11,D2,D3,D5,D7",SMA_Standard,C412437,6
zldo1117,U2,SOT-223,C435835,1
10µ,"C109,C110,C111,C123,C124,C131,C132,C14,C145,C35,C4,C51,C68,C69,C70,C97",C_0805,C440198,16
SI8621,U3,SOIC-8-N,C461877,1
IRLML6344,"Q1,Q2,Q3,Q4,Q5",SOT-23,C53550,5
4.7µH,L4,SMD_INDUCTOR_32x25,C5357113,1
STM32F405VG,U26,LQFP-100_14x14mm_Pitch0.5mm,C56621,1
LM358,"U6,U7",SOIC-8-N,C74525,2
SS34A,"D12,D13,D6,D9",SMA_Standard,C8678,4
220r 700mA,"L1,L10,L11,L3,L7,L8,L9",R_0603,C88971,7
