Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603,54.16,43.93,180.0,top
C10,100n,C_0603,67.801031,-31.248474,-90.0,top
C100,100n,C_0603,22.06,42.68,0.0,top
C101,2.2µ,C_0603,12.85,8.67,-90.0,top
C102,2.2µ,C_0603,14.58,31.7,90.0,top
C103,100n,C_0603,14.8275,16.395,-90.0,top
C104,100n,C_0603,14.58,29.03,-90.0,top
C105,100n,C_0603,16.7875,15.375,180.0,top
C106,100n,C_0603,16.54,28.01,180.0,top
C107,100n,C_0603,20.9775,15.515,0.0,top
C108,100n,C_0603,20.73,28.15,0.0,top
C109,10µ,C_0805,20.8775,12.325,0.0,top
C11,18p,C_0603,83.801031,-32.248474,0.0,top
C110,10µ,C_0805,20.63,26.71,0.0,top
C111,10µ,C_0805,20.8775,14.075,0.0,top
C112,100n,C_0603,88.81,45.18,0.0,top
C113,100n,C_0603,70.31,20.43,-90.0,top
C114,100n,C_0603,92.06,26.43,180.0,top
C115,100n,C_0603,88.81,28.68,180.0,top
C116,100n,C_0603,70.31,3.93,-90.0,top
C117,100n,C_0603,92.06,9.93,180.0,top
C118,100n,C_0603,88.81,12.18,180.0,top
C119,100n,C_0603,32.56,11.18,0.0,top
C12,100n,C_0603,68.81,6.68,90.0,top
C120,100n,C_0603,6.74,10.72,180.0,top
C121,100n,C_0603,5.72,8.76,90.0,top
C122,100n,C_0603,5.86,4.57,-90.0,top
C123,10µ,C_0805,2.67,4.67,-90.0,top
C124,10µ,C_0805,4.42,4.67,-90.0,top
C125,100n,C_0603,29.81,8.43,0.0,top
C126,100n,C_0603,29.81,7.18,0.0,top
C127,100n,C_0603,83.801031,-28.498474,180.0,top
C128,100n,C_0603,84.201031,-19.368474,0.0,top
C129,2.2µ,C_0603,58.684364,-16.598474,90.0,top
C13,100n,C_0603,68.81,23.18,90.0,top
C130,100n,C_0603,11.56,42.68,0.0,top
C131,10µ,C_0805,19.06,6.18,90.0,top
C132,10µ,C_0805,20.63,24.96,0.0,top
C133,2.2µ,C_0603,9.465,10.72,0.0,top
C134,2.2µ,C_0603,7.09,4.57,-90.0,top
C135,2.2µ,C_0603,20.9775,16.745,0.0,top
C136,2.2µ,C_0603,20.73,29.38,0.0,top
C137,2.2µ,C_0603,14.8275,19.065,90.0,top
C138,100n,C_0603,10.89,-48.31,-90.0,top
C139,2.2µ,C_0603,21.81,35.43,90.0,top
C14,10µ,C_0805,60.367697,-16.348474,-90.0,top
C140,2.2µ,C_0603,20.56,35.43,90.0,top
C141,2.2µ,C_0603,70.301031,-31.248474,90.0,top
C142,2.2µ,C_0603,19.31,35.43,90.0,top
C144,2.2µ,C_0603,23.06,35.43,90.0,top
C145,10µ,C_0805,94.861031,-35.518474,0.0,top
C146,1n,C_0603,56.801031,-22.248474,0.0,top
C147,1n,C_0603,83.801031,-29.748474,0.0,top
